Residence,Work,Commute rate
47,47,0
1,1,0
15,15,0
5,5,0
39,39,0
20,20,0
6,6,0
38,38,0
2,2,0
46,46,0
18,18,0
16,16,0
45,45,0
42,42,0
37,37,0
7,7,0
17,17,0
34,34,0
22,22,0
44,44,0
3,3,0
36,36,0
43,43,0
32,32,0
23,23,0
33,33,0
35,35,0
31,31,0
19,19,0
40,40,0
4,4,0
10,10,0
24,24,0
27,27,0
30,30,0
9,9,0
13,13,0
41,41,0
8,8,0
21,21,0
25,25,0
26,26,0
28,28,0
14,14,0
12,12,0
29,29,0
11,11,0
11,13,0.291997203
12,13,0.275124882
29,27,0.27237503
14,13,0.268342642
28,27,0.150598326
21,23,0.116414275
26,27,0.090615034
25,26,0.081697677
41,40,0.073135105
30,27,0.061232793
8,13,0.047212933
24,23,0.04348755
13,14,0.042906598
25,27,0.033086585
27,28,0.029143385
8,12,0.027646967
10,11,0.027116767
13,11,0.025813988
9,10,0.025592605
29,26,0.025413515
31,32,0.024734459
19,13,0.021765632
26,25,0.021419553
9,8,0.0195956
27,26,0.019521927
32,31,0.018473311
43,40,0.017865745
33,34,0.01743456
10,9,0.016135328
44,40,0.015843873
9,13,0.015795926
8,9,0.015154476
40,41,0.014670539
12,11,0.014551725
35,34,0.014481584
26,29,0.014160176
13,12,0.014137252
23,21,0.012573398
12,8,0.012492641
41,42,0.01207542
11,12,0.011977737
10,13,0.011491335
35,40,0.011352364
8,11,0.011149811
36,37,0.010905031
9,11,0.010904921
16,17,0.010638601
45,46,0.009805468
17,16,0.009366729
3,4,0.009284872
12,14,0.009066734
11,10,0.008957798
26,28,0.008684417
34,33,0.008649936
42,41,0.008598392
11,14,0.008095424
29,24,0.007924956
29,28,0.007593964
4,7,0.007574878
46,45,0.007451378
18,17,0.006837533
24,27,0.006801725
27,29,0.006606646
30,29,0.00636894
22,23,0.006366375
6,4,0.006308469
3,2,0.005934531
28,26,0.005710925
37,38,0.005562255
22,14,0.00551076
22,13,0.005503782
19,22,0.00544832
34,35,0.005354357
7,4,0.005290033
19,14,0.00520971
7,8,0.004721307
11,8,0.004687984
23,24,0.004646822
38,37,0.00448385
23,22,0.004407333
2,3,0.004170805
4,3,0.004166345
40,43,0.004073057
17,18,0.003980108
21,24,0.003970433
24,29,0.003907521
14,12,0.003627962
40,44,0.003604376
36,38,0.003590889
37,36,0.003477569
30,24,0.003466402
32,34,0.003457771
19,20,0.003434016
8,7,0.003342666
14,11,0.003290661
31,33,0.003212163
20,13,0.003109078
27,30,0.003055113
28,13,0.003032292
11,9,0.00302731
24,30,0.003021349
37,33,0.002886742
29,13,0.002872124
39,38,0.002854039
27,13,0.002853222
18,26,0.00281431
14,22,0.00275354
25,28,0.002727859
33,28,0.002708985
42,40,0.002701379
25,24,0.002624766
5,3,0.002531602
27,25,0.002505054
7,9,0.002484628
29,30,0.002449258
4,13,0.00243566
40,35,0.002415636
8,14,0.002321982
