Pref,2021/07/01,2021/07/02,2021/07/03,2021/07/04,2021/07/05,2021/07/06,2021/07/07,2021/07/08,2021/07/09,2021/07/10,2021/07/11,2021/07/12,2021/07/13,2021/07/14,2021/07/15,2021/07/16,2021/07/17,2021/07/18,2021/07/19,2021/07/20,2021/07/21,2021/07/22,2021/07/23,2021/07/24,2021/07/25,2021/07/26,2021/07/27,2021/07/28,2021/07/29,2021/07/30,2021/07/31,2021/08/01,2021/08/02,2021/08/03,2021/08/04,2021/08/05,2021/08/06,2021/08/07,2021/08/08,2021/08/09,2021/08/10,2021/08/11,2021/08/12,2021/08/13,2021/08/14,2021/08/15,2021/08/16,2021/08/17,2021/08/18,2021/08/19,2021/08/20,2021/08/21,2021/08/22,2021/08/23,2021/08/24,2021/08/25,2021/08/26,2021/08/27,2021/08/28,2021/08/29,2021/08/30,2021/08/31,2021/09/01,2021/09/02,2021/09/03,2021/09/04,2021/09/05,2021/09/06,2021/09/07,2021/09/08,2021/09/09,2021/09/10,2021/09/11,2021/09/12,2021/09/13,2021/09/14,2021/09/15,2021/09/16,2021/09/17,2021/09/18,2021/09/19,2021/09/20,2021/09/21,2021/09/22,2021/09/23,2021/09/24,2021/09/25,2021/09/26,2021/09/27,2021/09/28,2021/09/29,2021/09/30,2021/10/01,2021/10/02,2021/10/03,2021/10/04,2021/10/05,2021/10/06,2021/10/07,2021/10/08,2021/10/09,2021/10/10,2021/10/11,2021/10/12,2021/10/13,2021/10/14,2021/10/15,2021/10/16,2021/10/17,2021/10/18,2021/10/19,2021/10/20,2021/10/21,2021/10/22,2021/10/23,2021/10/24,2021/10/25,2021/10/26,2021/10/27,2021/10/28,2021/10/29,2021/10/30,2021/10/31,2021/11/01,2021/11/02,2021/11/03,2021/11/04,2021/11/05,2021/11/06,2021/11/07,2021/11/08,2021/11/09,2021/11/10,2021/11/11,2021/11/12,2021/11/13,2021/11/14,2021/11/15,2021/11/16,2021/11/17,2021/11/18,2021/11/19,2021/11/20,2021/11/21,2021/11/22,2021/11/23,2021/11/24,2021/11/25,2021/11/26,2021/11/27,2021/11/28,2021/11/29,2021/11/30,2021/12/01,2021/12/02,2021/12/03,2021/12/04,2021/12/05,2021/12/06,2021/12/07,2021/12/08,2021/12/09,2021/12/10,2021/12/11,2021/12/12,2021/12/13,2021/12/14,2021/12/15,2021/12/16,2021/12/17,2021/12/18,2021/12/19,2021/12/20,2021/12/21,2021/12/22,2021/12/23,2021/12/24,2021/12/25,2021/12/26,2021/12/27,2021/12/28,2021/12/29,2021/12/30,2021/12/31
0,14166546,14859057,15494517,16062881,16673053,17331562,17970573,18607327,19247431,19910803,20583385,21236328,21911897,22596854,23267082,23923762,24621614,25341565,26003561,26730416,27505832,27852978,28127658,28980985,29771275,30698170,31650663,32636086,33608560,34616391,35622758,36324160,37143905,38015161,38881263,39769636,40715700,41607492,42243472,42463322,43300035,44042431,44480423,44811031,45223126,45603207,46189308,46893308,47577410,48219913,48916248,49642032,50254259,50907042,51562371,52199749,52803494,53471633,54221278,54854042,55141672,55678517,56175000,56680652,57102197,57557990,57961436,58381837,58911660,59466678,60009913,60624653,61350218,61946638,62465000,63019934,63576397,64136958,64779867,65507538,66077337,66233879,66922642,67579891,67818534,68588265,69532293,70262741,70880139,71503610,72098476,72700712,73343961,74127005,74736841,75270348,75827500,76370035,76909234,77572012,78396588,78998220,79215649,79662211,80101356,80354493,80872551,81533105,82031044,82412727,82833447,83249775,83640244,84141791,84807774,85312723,85668124,86029174,86375743,86710091,87137077,87706728,88114685,88392464,88667925,88745518,89019522,89348277,89787967,90066007,90249046,90426746,90601032,90754440,90976766,91267792,91443904,91564054,91685194,91800784,91907625,92065413,92289421,92423269,92493728,92514570,92563362,92629617,92740667,92897260,92990899,93048585,93110846,93143816,93173688,93227051,93304198,93337476,93363355,93387846,93411456,93433518,93477828,93539791,93564704,93586633,93594386,93616612,93636947,93678536,93737438,93759499,93778544,93797413,93816220,93832858,93865490,93917137,93938554,93954910,93967883,93972452,93973674,93973874
1,548111,576180,595032,615321,640759,669000,695028,722069,747077,767510,791358,822885,854849,885280,915930,944532,971936,998562,1028174,1058782,1090223,1098917,1106587,1134645,1159025,1200296,1239074,1279814,1319965,1357016,1392102,1419770,1454211,1490369,1528230,1565555,1600483,1629134,1654138,1661981,1693791,1722119,1740565,1756278,1768718,1781541,1804891,1830805,1856278,1880068,1904103,1930650,1955228,1980435,2003433,2026492,2048797,2072793,2098217,2119267,2130162,2150357,2170589,2190370,2207696,2224576,2236685,2256779,2279867,2304829,2328731,2355030,2381849,2404860,2428359,2452853,2476756,2500432,2527219,2550272,2566785,2571604,2599339,2626530,2633125,2665947,2695955,2723179,2752116,2782210,2809736,2837863,2867428,2901278,2932217,2956561,2982939,3010475,3036762,3069542,3104465,3132321,3144066,3166446,3186211,3196099,3222985,3252160,3277151,3296015,3319429,3341657,3359402,3387308,3413151,3435309,3454128,3473214,3487936,3502292,3524105,3544090,3560286,3575180,3590495,3592773,3605759,3622633,3639340,3650878,3661248,3671983,3680213,3687326,3698221,3708078,3714602,3721056,3728276,3734232,3739087,3746981,3756146,3762172,3766250,3767286,3768878,3772616,3778834,3784682,3788285,3791549,3795427,3797667,3799501,3803217,3807967,3809578,3811566,3813405,3814659,3815747,3818869,3823367,3825520,3827102,3827493,3828950,3830143,3833302,3836464,3837656,3838887,3840095,3841211,3842183,3844170,3846281,3847443,3848234,3848931,3849355,3849460,3849484
2,181264,189568,194566,199715,205651,212629,219332,226339,234324,241211,246713,254934,263247,272046,280630,289009,296792,303110,310787,318472,327026,329073,330164,340102,348638,359441,369996,380304,390370,399760,410246,418183,426515,434929,442465,451037,459219,466889,470925,471650,480538,487629,489760,490472,491014,492341,497268,502791,508668,515010,521503,526712,531474,537515,542944,550399,556474,562593,570159,573016,574673,579217,584950,590682,593169,595466,596607,601445,606033,611741,617008,621706,628353,631239,636350,640891,645160,649687,654700,662829,669477,670530,676082,681117,681479,687882,698219,707493,713604,720055,725344,731815,738313,745444,752155,758646,765718,772606,780908,789881,800764,806383,809061,815143,820552,823183,828848,836404,840537,845919,850706,855525,860315,865340,873512,883567,887487,890979,894020,897013,900815,908602,913818,916835,919375,919591,922868,926069,931345,937163,939094,941159,943005,944936,947050,950925,954211,956560,958027,959755,961482,963963,964967,965523,966321,966351,966600,967455,968915,970668,971114,971887,972706,973247,973710,974402,974991,975026,975424,975896,976133,976577,976932,977651,977769,977915,978122,978484,978621,979032,979465,979577,980116,980309,980598,980807,981116,981429,981457,981607,981890,981935,981961,981962
3,137231,143081,150482,156442,162448,169113,175249,183422,189025,197295,206539,211438,218025,225362,233203,238706,248291,259967,265330,272013,279195,280908,281355,293961,307978,314412,322609,331510,338540,344418,354950,362493,368197,375307,381630,388158,394513,404466,412430,412897,420158,426783,430118,431210,434924,437831,439424,444962,450735,455745,460439,468249,473759,477773,482436,487348,492138,496403,502744,509606,510578,514650,517995,521149,522246,525332,527832,528978,533593,538212,543361,547951,553433,559387,563713,568886,573355,578529,583583,588614,594119,594595,601010,607086,607897,616052,625697,634543,640459,646714,652991,658933,664857,674650,684525,688507,693399,697884,702720,708421,720136,732646,733900,738275,742101,743538,747169,755858,763465,767194,772903,777006,781107,785848,793304,802608,808228,813902,818960,823958,828877,836162,842934,847372,851779,852097,857008,861971,870882,877085,880403,883403,886020,889063,891852,896896,900234,901934,904086,905513,907679,909793,914130,917419,918772,918981,919734,921287,922861,926072,928259,929808,932168,932693,933706,934381,935529,936052,936406,936673,936963,937124,937810,938049,938092,938368,938424,938684,938859,939489,939886,939930,940247,940501,940780,941054,941571,942449,943242,943472,943625,943676,943679,943679
4,279866,297952,310974,322396,337228,353339,366326,380219,394613,406245,416936,426621,437176,447923,458861,469205,479650,489351,497859,507174,516870,519888,522493,533332,542636,555112,567936,580994,594960,608959,624708,637263,651587,667102,681108,695951,712511,727772,739619,743419,758110,770040,776630,780412,785873,790880,799255,812936,824522,835255,848437,858979,868130,880102,892650,901920,912268,924335,936631,946754,953676,963971,970853,977875,984243,988280,994642,1000710,1010760,1020036,1029490,1040337,1050952,1066683,1077761,1090913,1102263,1113775,1127126,1141634,1159740,1164511,1180500,1192492,1196187,1212119,1228138,1244989,1261645,1278664,1291287,1304652,1319824,1332251,1341389,1354884,1367988,1378013,1387684,1399123,1410146,1419973,1428288,1440320,1450045,1455305,1466589,1477032,1486599,1492536,1500763,1509530,1516500,1527085,1538134,1550084,1556766,1563722,1569470,1576401,1585100,1594463,1600329,1605439,1611342,1612707,1618458,1626055,1635203,1642631,1646783,1651482,1655488,1659786,1666294,1671826,1674432,1676446,1678863,1681001,1683013,1685648,1688743,1690572,1691386,1691468,1692121,1693298,1694723,1697839,1700671,1701612,1702785,1703374,1703783,1704410,1704951,1705005,1705365,1705748,1706062,1706404,1706776,1707029,1707080,1707276,1707366,1707490,1707717,1708049,1708562,1708606,1708860,1709312,1709768,1710425,1711195,1712556,1712807,1713284,1713856,1713906,1713912,1713913
5,97134,99923,107131,114011,116849,119887,123544,127441,130957,139917,151280,158472,164570,172237,180014,186732,195947,207957,214570,222580,231761,244064,254430,266387,278176,286084,293966,303799,313512,321038,333211,340874,342830,345461,349345,353751,356609,360229,363961,364700,368317,371979,373270,373362,374099,375374,377426,379662,381148,382717,384618,393232,404927,411303,416560,422508,428081,434373,440060,446067,448724,454271,459839,464169,465586,468004,471203,475521,480172,485801,491962,497559,504179,509574,512248,515106,518096,520947,523819,528080,531522,532851,535673,538468,539839,542874,548022,553500,556208,558956,561667,564078,567270,571848,580728,585161,589592,593819,598551,604421,611715,618698,620931,626510,631796,634497,640251,648574,654857,659670,664019,668651,673082,677865,683863,687614,689863,692362,694696,696995,699268,702412,704393,706336,708495,709791,711822,713898,716205,718186,719416,720795,721875,722800,723813,724771,727270,728163,729244,730159,730577,731601,735910,741006,741484,741851,742845,743782,744147,745711,748541,748640,748730,749179,749545,750382,752486,755057,755342,755640,756009,756085,756345,757021,757795,757841,757869,758042,758143,758360,758526,758563,758601,758832,758892,759000,759368,759439,759515,759578,759647,759683,759688,759688
6,167683,174543,180547,187065,192724,200865,208121,215446,222844,231552,238523,245155,252067,258607,265641,272089,280147,288436,295115,300487,306671,309893,311651,318435,323992,331569,338503,347145,355993,363203,370490,376766,383209,389521,396009,402358,408470,416807,423677,425243,431339,436636,438465,439251,440352,441401,443504,447063,451477,455833,459653,466191,473546,477255,481894,487715,493500,499111,509750,517242,519428,524530,529186,532272,534149,537026,539459,543962,549200,554727,560120,565882,573862,580118,585350,588119,591973,596095,600051,605343,609645,610060,613852,617075,617883,621908,630521,636974,640379,643333,646824,650026,653278,659924,664149,666610,671814,675307,680485,686438,691009,694926,695946,699604,702604,703831,708411,713186,717071,720315,723991,727053,729963,734675,740896,745146,747804,749966,752842,756578,759299,766024,771138,772458,774062,776440,780746,783475,789103,793425,794161,795105,795824,797400,799193,802951,804936,805481,806412,807537,808787,809836,810842,812904,813877,814107,814544,815212,817047,819224,821093,821942,823029,823694,824145,824576,824859,824867,824962,825124,825230,825264,825530,825972,826064,826162,826206,826336,826517,826778,827058,827463,827634,827845,827958,828097,828305,828544,828548,828735,828933,828942,828942,828942
7,255156,266085,273761,280132,289590,300270,309955,320755,331247,340337,349373,359692,371130,381998,392164,402830,412281,420793,431013,443634,454221,458066,462381,470805,479018,492740,507984,522226,536285,551947,564075,570731,581917,593970,605930,620391,634218,645079,650960,654136,665403,675804,680423,682639,686308,688839,693708,702948,713344,724549,735469,746356,756100,766874,778600,789558,799200,810854,819952,827207,830831,838868,844748,850568,854346,858167,860050,863569,871378,878685,886894,896047,904529,909689,918265,927579,935744,943378,953807,963473,969753,970686,980712,990017,991799,1004199,1016257,1024017,1033750,1042885,1051707,1061465,1069903,1080155,1087390,1094747,1103353,1112184,1121413,1132015,1141949,1149576,1152004,1158895,1165117,1168760,1177619,1184544,1189873,1195300,1203057,1210680,1217684,1227266,1233690,1238888,1245854,1252733,1259186,1265502,1274481,1283053,1288680,1295188,1301157,1303676,1311614,1319441,1326283,1328983,1334498,1339701,1346534,1352912,1359819,1365403,1370098,1374337,1377269,1380512,1383789,1388426,1392988,1394948,1396825,1397686,1399525,1401503,1404221,1407044,1409584,1410481,1411588,1412152,1412743,1413735,1414086,1414436,1414868,1415217,1415744,1416117,1416868,1417540,1417962,1418345,1418378,1418714,1419091,1419502,1420116,1420624,1420933,1421284,1421589,1422004,1422549,1423013,1423395,1423724,1423895,1423952,1424001,1424001
8,303863,320361,333240,346733,359544,373624,388012,400737,413277,423539,440021,454542,468876,482649,496171,509749,521772,539216,552835,567522,582553,592122,598969,617312,637468,658717,679813,699242,720712,742618,764274,779675,798210,815560,833328,852319,872291,894255,910788,919301,940866,961032,972784,980923,988273,997310,1011274,1029138,1046317,1063430,1079883,1094487,1109739,1127708,1145782,1162158,1179186,1196870,1216361,1235889,1244239,1258360,1271185,1283427,1293356,1302488,1309603,1319347,1331316,1342404,1353540,1367218,1381517,1391556,1406405,1420498,1434738,1448942,1466466,1482182,1491476,1494703,1512236,1529132,1533432,1554573,1572897,1584245,1601055,1617183,1633168,1648581,1663842,1682074,1697116,1715745,1732354,1749634,1765775,1784435,1806076,1822746,1831289,1843393,1855088,1863254,1877110,1895424,1909486,1922085,1934954,1946545,1959086,1975315,1992552,2006339,2018995,2031096,2043257,2054735,2067089,2079570,2090141,2097707,2105001,2106552,2113772,2122125,2132128,2138611,2143404,2147923,2153666,2158468,2163930,2170083,2173430,2177132,2181014,2184153,2187486,2191886,2196338,2198773,2201248,2201528,2202645,2204647,2207687,2211008,2212110,2214634,2217382,2218368,2219609,2221706,2223838,2224013,2224645,2225257,2225706,2226346,2227555,2228703,2228870,2229366,2229537,2229884,2230435,2231393,2232255,2233182,2233598,2234146,2234639,2235293,2236241,2237355,2237735,2238231,2238506,2238570,2238591,2238602
9,165332,173655,181884,188595,195866,205430,215552,225293,234361,244909,256853,265655,276108,286127,296038,306140,317391,329152,339592,351339,363691,368392,371248,384244,398370,409794,421921,434908,446936,457773,469234,479330,489188,499390,508389,517825,528321,539519,546118,548751,559625,569565,576665,580552,584397,588148,593806,606409,617555,627699,640436,654221,667151,678769,692205,703351,714046,725773,737514,748676,753917,764950,775206,785040,790711,793412,798108,802593,811826,821647,831215,840661,850393,856740,864667,872754,880110,886510,895157,903010,909119,910554,919352,927853,931495,941755,955616,966861,976482,985306,995569,1005845,1017046,1031957,1047370,1058059,1069404,1081942,1095401,1109574,1129451,1148233,1151502,1163644,1176565,1182398,1195214,1208808,1221782,1230260,1240088,1250734,1260027,1270266,1283078,1293376,1300452,1307427,1315702,1322551,1330710,1339252,1347408,1352991,1358239,1360409,1367618,1374051,1383515,1389346,1394195,1398681,1403889,1407669,1413392,1419502,1424208,1426528,1430672,1434352,1438581,1442302,1450340,1456191,1458352,1458468,1461588,1464211,1467854,1471480,1474384,1475256,1475910,1476230,1476549,1477177,1478005,1478211,1478659,1478993,1479298,1479662,1480340,1481157,1481282,1481690,1481822,1482069,1482384,1483049,1483623,1484030,1484296,1484524,1484777,1484966,1485337,1485790,1485921,1486112,1486259,1486289,1486289,1486291
