Dep_reg_code,Arr_reg_code,Total
1,1,0
1,2,549.6783
1,3,114.2696
1,4,549.3419
1,5,76.6239
1,6,20.087
1,7,43.176
1,8,93.155
1,9,12.3
1,10,2.6
1,11,61.5
1,12,914.78
1,13,6456.357
1,14,6.4
1,15,98.5834
1,16,33.651
1,17,43.379
1,18,5.9415
1,19,0.1
1,20,28.387
1,21,0
1,22,56.762
1,23,871.1435
1,24,0
1,25,0
1,26,11.2493
1,27,1253.896
1,28,264.57
1,29,0
1,30,0
1,31,0
1,32,2.646
1,33,40.365
1,34,79.994
1,35,0
1,36,1.738
1,37,0
1,38,16.154
1,39,0
1,40,310.729
1,41,0
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0.2
1,47,48.363
2,1,559.5368
2,2,0
2,3,402.8
2,4,555
2,5,182.5387
2,6,11.1
2,7,47.9
2,8,14.4
2,9,30.5
2,10,9
2,11,199.2
2,12,86.5
2,13,1331.946
2,14,78.6
2,15,17.3
2,16,4.1
2,17,5.8
2,18,1.6
2,19,2.9
2,20,11.6
2,21,2.2
2,22,19.4
2,23,83.151
2,24,0.5
2,25,1.2
2,26,15.3
2,27,148.359
2,28,5.706
2,29,0
2,30,0.1
2,31,0.1
2,32,0
2,33,2.2
2,34,5.6
2,35,1.2
2,36,0
2,37,0.5
2,38,0.3
2,39,0
2,40,1.7
2,41,0
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0.1
2,47,0
3,1,112.7721
3,2,396.6
3,3,0
3,4,1285.1
3,5,184.1
3,6,11.4
3,7,78.5
3,8,13.1
3,9,50.1
3,10,11
3,11,287.6
3,12,92.7
3,13,1441
3,14,103.5
3,15,9.9
3,16,5.7
3,17,7.8
3,18,1.9
3,19,5
3,20,14.9
3,21,3.4
3,22,31.1
3,23,111.801
3,24,1.2
3,25,2.2
3,26,24.4
3,27,91.229
3,28,6.8
3,29,0
3,30,0.6
3,31,0.1
3,32,0
3,33,3.5
3,34,6.8
3,35,1.3
3,36,0
3,37,1.3
3,38,0.5
3,39,0.1
3,40,18.376
3,41,0
3,42,0.1
3,43,0.2
3,44,0.1
3,45,0
3,46,0.1
3,47,0
4,1,554.7835
4,2,558.8
4,3,1286.9
4,4,0
4,5,243.9
4,6,593.8
4,7,2562.6
4,8,32.1
4,9,209.8
4,10,36.7
4,11,779.3
4,12,267.037
4,13,3979.3
4,14,256.2
4,15,30.8
4,16,16.1
4,17,43.563
4,18,4.1
4,19,11.2
4,20,49.6
4,21,8.9
4,22,71.8
4,23,263.2373
4,24,2.1
4,25,5.4
4,26,41.3
4,27,631.036
4,28,113.72
4,29,0.8
4,30,1.2
4,31,0.1
4,32,20.027
4,33,8.7
4,34,47.316
4,35,2.9
4,36,0
4,37,3.2
4,38,1.3
4,39,0.1
4,40,153.759
4,41,0
4,42,0
4,43,0.3
4,44,0.1
4,45,0
4,46,0.1
4,47,65.14
5,1,72.1773
5,2,181.5
5,3,178.9
5,4,243.1
5,5,0
5,6,49.4
5,7,19.9
5,8,5.8
5,9,13.9
5,10,6.9
5,11,109.5
5,12,36.5
5,13,948.807
5,14,42.2
5,15,27.6219
5,16,2.1
5,17,2.7
5,18,1.7829
5,19,1.2
5,20,5.2
5,21,1.3
5,22,9.8
5,23,43.492
5,24,0
5,25,0.2
5,26,3.6
5,27,110.686
5,28,1.2
5,29,0
5,30,0.1
5,31,0
5,32,0
5,33,0.8
5,34,1.4
5,35,0.3
5,36,0
5,37,0
5,38,0
5,39,0
5,40,0.3
5,41,0
5,42,0
5,43,0
5,44,0
5,45,0
5,46,0
5,47,0
6,1,19.664
6,2,10.7
6,3,11.2
6,4,613
6,5,49.7
6,6,0
6,7,157.6
6,8,9.1
6,9,39.9
